Precinct No.,Precinct Name,Active,Inactive
0101,101 - CHINCOTEAGUE,2362,271
0201,201 - ATLANTIC,1101,60
0202,202 - GREENBACKVILLE,1384,145
0301,301 - OAK HALL,2467,179
0401,401 - BLOXOM,808,39
0402,402 - PARKSLEY,1153,40
0501,501 - MAPPSVILLE,1069,45
0502,502 - RUE,1029,42
0601,601 - ACCOMAC,1890,128
0602,602 - TANGIER,399,9
0701,701 - ONANCOCK,1846,191
0702,702 - ONLEY,898,40
0801,801 - BOBTOWN,895,26
0802,802 - MELFA,1285,54
0803,803 - WACHAPREAGUE,739,16
0901,901 - PAINTER,2692,109
403,403 - SAXIS,358,15
# of Precincts in the Locality:,,22375,1409
0101,101 - WOODBROOK,2724,263
0103,103 - BRANCHLANDS,1124,322
0104,104 - AGNOR-HURT,2255,498
0105,105 - DUNLORA,2195,329
0106,106 - NORTHSIDE,2885,257
0201,201 - JACK JOUETT,2108,439
0202,202 - UNIVERSITY HALL,3272,1680
0203,203 - GEORGETOWN,2400,1003
0204,204 - BELFIELD,1205,108
0301,301 - IVY,3773,317
0302,302 - RED HILL,2663,196
0304,304 - EAST IVY,996,103
0305,305 - COUNTRY GREEN,2035,255
0306,306 - PORTERS,1391,124
0307,307 - YELLOW MOUNTAIN,676,38
0401,401 - SCOTTSVILLE,1498,127
0402,402 - MONTICELLO,1435,137
0405,405 - CALE,4170,1185
0406,406 - STONE ROBINSON,2731,194
0501,501 - KESWICK,1346,143
0502,502 - STONY POINT,1457,124
0503,503 - HOLLYMEAD,2389,363
0504,504 - FREE BRIDGE,3364,530
0506,506 - BAKER-BUTLER,2787,315
0601,601 - CROZET,3797,359
0602,602 - FREE UNION,1334,115
0603,603 - EARLYSVILLE,2901,246
0604,604 - BROWNSVILLE,3648,314
# of Precincts in the Locality:,,64559,10084
0101,101 - ARRITT,1019,57
0103,103 - DAMERON,360,29
0201,201 - HUMPBACK BRIDGE,579,37
0202,202 - DOLLY ANN,802,67
0301,301 - CALLAGHAN,576,19
0302,302 - GRIFFITH,999,50
0401,401 - LOW MOOR,708,55
0402,402 - JACKSON HEIGHTS,894,27
0501,501 - IRON GATE,418,12
0502,502 - PETERS SWITCH,1027,52
0601,601 - DISTRICT 1,1399,101
0701,701 - DISTRICT 2,1227,146
# of Precincts in the Locality:,,10008,652
0101,101 - NUMBER ONE,1578,107
0201,201 - NUMBER TWO,1598,82
0301,301 - NUMBER THREE,1737,60
0401,401 - NUMBER FOUR,1713,77
0501,501 - NUMBER FIVE,1832,70
# of Precincts in the Locality:,,8458,396
0101,101 - WRIGHT SHOP,1414,55
0102,102 - NEW GLASGOW,1730,96
0103,103 - COOLWELL,828,50
0201,201 - COURT HOUSE,2953,135
0202,202 - TEMPERANCE,1078,44
0301,301 - MONROE,1124,71
0302,302 - ELON,2541,118
0303,303 - PLEASANT VIEW,633,17
0401,401 - AMELON,3055,161
0402,402 - LONCO,821,60
0501,501 - MADISON,3201,205
# of Precincts in the Locality:,,19378,1012
0101,101 - VERA,701,65
0102,102 - PAMPLIN,1332,114
0201,201 - CHAP,541,57
0202,202 - SPOUT SPRING,1513,111
0301,301 - US  460,898,80
0302,302 - STONEWALL,1065,77
0401,401 - COURTHOUSE,1842,205
0501,501 - OAKVILLE,1387,59
0502,502 - AGEE,564,50
# of Precincts in the Locality:,,9843,818
0001,001 - ARLINGTON,2302,459
0002,002 - ASHTON HEIGHTS,3028,591
0003,003 - AURORA HILLS,1922,204
0004,004 - BALLSTON,2670,564
0005,005 - BARCROFT,2242,283
0006,006 - CRYSTAL CITY,2278,900
0007,007 - CHERRYDALE,2862,332
0008,008 - HUME,3631,885
0009,009 - COLUMBIA,3367,474
0010,010 - WILSON,3487,984
0011,011 - EAST FALLS CHURCH,2009,203
0012,012 - FAIRLINGTON,2582,417
0013,013 - GLEN CARLYN,1906,223
0014,014 - CLARENDON,2397,580
0015,015 - LYON PARK,2810,831
0016,016 - LYON VILLAGE,2997,615
0017,017 - OVERLEE KNOLLS,3098,313
0018,018 - PARK LANE,4478,1325
0019,019 - ROSSLYN,3890,1110
0020,020 - THRIFTON,2879,200
0021,021 - VIRGINIA HIGHLANDS,4006,880
0022,022 - ABINGDON,2933,574
0023,023 - WESTOVER,2695,407
0024,024 - WOODLAWN,3513,431
0025,025 - ARLINGTON FOREST,2140,239
0026,026 - FILLMORE,3708,811
0027,027 - JEFFERSON,2852,371
0028,028 - CLAREMONT,3477,521
0029,029 - DOMINION HILLS,2724,195
0030,030 - GLEBE,3083,319
0031,031 - LEXINGTON,2804,214
0032,032 - OAKRIDGE,1342,329
0033,033 - ROCK SPRING,2922,195
0034,034 - YORKTOWN,2529,208
0035,035 - MADISON,3195,166
0036,036 - MARSHALL,3247,287
0037,037 - NOTTINGHAM,2458,154
0038,038 - ARLINGTON VIEW,2726,657
0039,039 - ASHLAWN,1644,168
0040,040 - VIRGINIA SQUARE,3047,722
0041,041 - WOODBURY,3157,1039
0042,042 - SHIRLINGTON,2535,653
0043,043 - ARLINGTON MILL,2239,369
0044,044 - DAWSON TERRACE,2293,606
0045,045 - BUCKINGHAM,2406,426
0046,046 - CENTRAL,3437,1191
0047,047 - FOUR MILE RUN,2178,305
0048,048 - COURTLANDS,2730,565
0049,049 - MONROE,1663,345
0050,050 - CRYSTAL PLAZA,2733,1041
0051,051 - TAYLOR,710,139
0052,052 - GUNSTON,2268,811
# of Precincts in the Locality:,,142229,26831
0101,101 - JOLIVUE,1179,112
0102,102 - STUARTS DRAFT ELEMENTARY,1440,184
0103,103 - VERONA,2408,200
0201,201 - CRIMORA,2586,197
0202,202 - NEW HOPE,1382,65
0203,203 - WEYERS CAVE,2131,155
0301,301 - FORT DEFIANCE,3505,215
0302,302 - NORTH RIVER,863,44
0303,303 - MOUNT SOLON,1195,53
0304,304 - CHURCHVILLE FIRE STATION,1045,38
0401,401 - BUFFALO GAP,1255,75
0402,402 - CHURCHVILLE ELEMENTARY,1223,48
0403,403 - CRAIGSVILLE,948,88
0404,404 - DEERFIELD,406,19
0405,405 - CEDAR GREEN,1585,67
0501,501 - GREENVILLE,1914,82
0502,502 - MIDDLEBROOK,1054,45
0503,503 - SPOTTSWOOD,1058,73
0504,504 - WHITE HILL,2209,188
0601,601 - SHERANDO,1482,91
0602,602 - STUARTS DRAFT RESCUE,3329,181
0603,603 - LYNDHURST,2195,82
0801,801 - DOOMS,1637,107
0802,802 - FISHERSVILLE,2872,184
0803,803 - WILSON,2197,201
# of Precincts in the Locality:,,43098,2794
0101,101 - WARM SPRINGS,597,11
0102,102 - MOUNTAIN GROVE,89,8
0201,201 - HOT SPRINGS,565,40
0301,301 - FAIRVIEW,478,17
0302,302 - BURNSVILLE,173,10
0401,401 - MILLBORO,692,28
0501,501 - HEALING SPRINGS,629,30
# of Precincts in the Locality:,,3223,144
0101,101 - GOODVIEW ELEM SCHOOL,3814,275
0102,102 - HARDY VOL FIRE CO,957,64
0103,103 - CHAMBLISSBURG FIRST AID BLDG,1255,81
0202,202 - STAUNTON RIVER HIGH SCHOOL,1382,110
0203,203 - MONETA ELEM SCHOOL,2977,216
0204,204 - BODY CAMP ELEM SCHOOL,473,31
0205,205 - SAUNDERS VOL FIRE CO,1680,148
0301,301 - NEW LONDON ACADEMY,3164,199
0302,302 - BEDFORD COUNTY PSA,890,77
0303,303 - BETHESDA METHODIST CHURCH,863,40
0304,304 - FOREST YOUTH ATHLETIC ASSOC,975,81
0305,305 - HUDDLESTON ELEM SCHOOL,833,42
0401,401 - FOREST LIBRARY,1641,126
0402,402 - THOMAS JEFFERSON ELEM SCHOOL,3536,241
0403,403 - KNIGHTS OF COLUMBUS BLDG,2457,228
0502,502 - BIG ISLAND ELEM SCHOOL,647,49
0503,503 - SEDALIA CENTER,759,24
0504,504 - SUCK SPRINGS BAPTIST CHURCH,391,13
0505,505 - BOONSBORO ELEMENTARY SCHOOL,2091,198
0506,506 - BOONSBORO RURITAN CLUB,2811,197
0507,507 - PLEASANT VIEW BAPTIST CHURCH,200,23
0601,601 - MONTVALE ELEM SCHOOL,1556,86
0602,602 - SHADY GROVE BAPTIST CHURCH,1753,104
0603,603 - THAXTON ELEM SCHOOL,1365,72
0604,604 - FLINT HILL COMMUNITY CENTER,1364,76
0701,701 - GOODE VOL RESCUE SQUAD,2049,94
0702,702 - LIBERTY HIGH SCHOOL,1950,113
0703,703 - BEDFORD CHRISTIAN CHURCH,2068,130
0704,704 - FOREST ELEM SCHOOL,304,32
# of Precincts in the Locality:,,46205,3170
0101,101 - BASTIAN,573,30
0102,102 - CERES,563,23
0201,201 - DAVIS,197,7
0202,202 - SEDDON,1044,51
0301,301 - HOLLYBROOK,565,19
0302,302 - MECHANICSBURG,262,12
0401,401 - ROCKY GAP,1288,47
# of Precincts in the Locality:,,4492,189
0101,101 - AMSTERDAM,2190,179
0102,102 - ASBURY,2433,102
0201,201 - BLUE RIDGE,2404,113
0202,202 - RAINBOW FOREST,2431,100
0301,301 - BUCHANAN,1503,79
0302,302 - MILL CREEK,1301,84
0303,303 - ROARING RUN,438,15
0304,304 - SPRINGWOOD,1005,43
0402,402 - COURTHOUSE,1245,82
0403,403 - EAGLE ROCK,799,29
0404,404 - GLEN WILTON,600,26
0405,405 - ORISKANY,71,6
0406,406 - TOWN HALL,1510,72
0501,501 - COYNER SPRINGS,1146,78
0502,502 - CLOVERDALE,2572,179
0503,503 - TROUTVILLE,833,50
# of Precincts in the Locality:,,22481,1237
0101,101 - BRODNAX,523,33
0102,102 - ROCK STORE,834,54
0103,103 - TILLMAN,900,61
0201,201 - DROMGOOLE,313,15
0202,202 - EDGERTON,1062,62
0203,203 - FITZHUGH,762,44
0301,301 - ALBERTA,221,25
0302,302 - DANIELTOWN,946,53
0303,303 - ELMORE,425,33
0304,304 - SEYMOUR,437,61
0401,401 - STURGEON,1638,79
0402,402 - KING'S STORE,517,38
0501,501 - LAWRENCEVILLE,1977,161
# of Precincts in the Locality:,,10555,719
0102,102 - BLACKEY,716,34
0103,103 - HURLEY,1861,100
0201,201 - GRASSY,189,6
0202,202 - BULL,949,16
0203,203 - ROCKLICK,1214,30
0301,301 - SLATE,1246,33
0302,302 - NORTH GRUNDY,1209,50
0403,403 - SOUTH GRUNDY,1558,97
0404,404 - OAKWOOD,163,7
0501,501 - PRATER,948,33
0502,502 - FOX,318,20
0503,503 - VANSANT,913,36
0601,601 - COUNCIL,626,42
0602,602 - GARDEN,980,33
0603,603 - HURRICANE,620,19
0701,701 - WHITEWOOD,1457,83
0702,702 - CONTRARY,904,50
