Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,920",209,"3,129",63,7,10,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,993,56,"1,049",22,1,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,917",163,"2,080",32,,3,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,750",208,"2,958",27,1,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,"1,143",67,"1,210",12,1,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,132",59,"1,191",13,2,2,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,340,14,354,,,,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,180",73,"1,253",6,2,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,075",64,"1,139",11,,,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"2,206",126,"2,332",28,5,2,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,313,7,320,10,,2,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,933",163,"3,096",38,5,15,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,977,39,"1,016",7,2,8,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,346",50,"1,396",16,2,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,805,26,831,9,1,1,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 001 ACCOMACK COUNTY,0901,901 - PAINTER,"2,872",137,"3,009",38,3,2,16,"24,902","1,461","26,363",332,32,50,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0101,101 - WOODBROOK,"3,021",170,"3,191",22,18,,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,"1,300",216,"1,516",14,9,4,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0104,104 - AGNOR-HURT,"2,594",212,"2,806",22,15,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0105,105 - DUNLORA,"3,741",254,"3,995",31,32,6,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0106,106 - NORTHSIDE,"3,013",197,"3,210",46,27,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0201,201 - JACK JOUETT,"3,661",219,"3,880",24,42,32,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0202,202 - UNIVERSITY,"3,669",617,"4,286",22,45,18,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0203,203 - GEORGETOWN,"3,389",401,"3,790",33,28,14,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0301,301 - IVY,"4,064",164,"4,228",35,66,14,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0302,302 - RED HILL,"3,257",125,"3,382",25,42,7,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0304,304 - EAST IVY,"1,067",49,"1,116",5,12,3,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0305,305 - COUNTRY GREEN,"3,091",163,"3,254",30,18,2,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0306,306 - PORTERS,"1,706",59,"1,765",15,12,1,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0307,307 - YELLOW MOUNTAIN,"1,304",60,"1,364",7,12,3,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0401,401 - SCOTTSVILLE,"1,868",94,"1,962",5,12,3,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0402,402 - MONTICELLO,"1,638",56,"1,694",10,9,2,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0405,405 - MOUNTAIN VIEW,"4,339",313,"4,652",40,42,9,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0406,406 - STONE ROBINSON,"3,550",148,"3,698",34,22,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0407,407 - BISCUIT RUN,"2,491",342,"2,833",28,15,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0501,501 - KESWICK,"1,576",77,"1,653",18,15,3,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0502,502 - STONY POINT,"1,657",57,"1,714",25,20,7,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
